Company,Industry,Age,Rating,Reviews,Salary,Location,Highly Rated,Critically Rated
TCS,IT Services & Consulting,56,3.7,82.9,9L,Mumbai,Job Security,Promotions / Appraisal
Accenture,IT Services & Consulting,35,3.9,51.7,6L,Dublin,Company Culture,Promotions / Appraisal
Cognizant,IT Services & Consulting,30,3.8,46.5,5.9L,,Promotions / Appraisal,Promotions / Appraisal
Wipro,IT Services & Consulting,79,3.7,46.4,4.5L,Bengaluru,Job Security,Promotions / Appraisal
Capgemini,IT Services & Consulting,57,3.8,38.3,4.4L,Paris,Job Security,Promotions / Appraisal
HDFC Bank,Banking,30,3.9,37.1,1.4L,Mumbai,Job Security,Promotions / Appraisal
ICICI Bank,Banking,30,4.0,36.3,1.5L,Mumbai,Job Security,
Infosys,IT Services & Consulting,43,3.7,35.8,4.8L,Bangalore,Job Security,Promotions / Appraisal
HCLTech,IT Services & Consulting,33,3.6,33.1,3.3L,Noida,Job Security,Promotions / Appraisal
Tech Mahindra,IT Services & Consulting,38,3.6,30.4,2.6L,Pune,Promotions / Appraisal,Promotions / Appraisal
Genpact,IT Services & Consulting,27,3.9,28.8,2L,York,Job Security,Promotions / Appraisal
Teleperformance,,46,3.9,26.5,89.3k,Paris,Skill Development / Learning,
Concentrix Corporation,IT Services & Consulting,41,3.8,24.7,1.2L,Fremont,Job Security,Promotions / Appraisal
Axis Bank,Banking,31,3.8,23.9,99.3k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Amazon,Internet,30,4.1,23.9,1.3L,Seattle,Company Culture,
Jio,,6,3.9,21.5,64.7k,Mumbai,Job Security,Promotions / Appraisal
Reliance Retail,Retail,18,3.9,21,66.3k,Ghansoli,Skill Development / Learning,Promotions / Appraisal
IBM,IT Services & Consulting,113,4.1,20.9,2.1L,Armonk,Work Life Balance,Promotions / Appraisal
iEnergizer,,24,4.7,19.6,20.5k,Noida,Company Culture,
HDB Financial Services,NBFC,17,4.0,19.3,50.2k,Ahmedabad,Skill Development / Learning,Promotions / Appraisal
Larsen Toubro Limited,Engineering & Construction,86,4.0,17.5,70.2k,Chennai,Job Security,
Deloitte,Management Consulting,179,3.8,16.5,2L,Secunderabad,Job Security,Work Life Balance
BYJU S,EdTech,13,3.1,15.9,61.2k,Budaun,Job Security,Job Security
Kotak Mahindra Bank,Banking,21,3.8,15.4,82.2k,Mumbai,Job Security,Promotions / Appraisal
LTIMindtree,IT Services & Consulting,27,3.5,15,1.8L,Bengaluru,Promotions / Appraisal,Promotions / Appraisal
Reliance Industries,Oil & Gas,47,4.0,14.8,67.4k,Budaun,Job Security,Promotions / Appraisal
Vodafone Idea,Telecom,6,4.1,14.8,55.2k,Budaun,Company Culture,
Bharti Airtel,Telecom,72,4.0,12.9,45.8k,Budaun,Skill Development / Learning,Promotions / Appraisal
Tata Motors,Automobile,79,4.2,11.3,41.7k,Budaun,Job Security,
WNS,BPO,28,3.4,10.4,56.4k,Pune,Promotions / Appraisal,Promotions / Appraisal
Flipkart,Internet,17,4.0,10.2,48.4k,Bengaluru,Skill Development / Learning,
IndusInd Bank,Banking,30,3.6,10.1,47.5k,Budaun,Promotions / Appraisal,Promotions / Appraisal
Ernst Young,Management Consulting,22,3.5,9.8,1.2L,Bengaluru,Work Life Balance,Work Life Balance
IDFC FIRST Bank,Banking,6,4.0,9.5,44.3k,Budaun,Salary & Benefits,
DXC Technology,IT Services & Consulting,7,3.7,9.4,78.5k,Bengaluru,Work Life Balance,Promotions / Appraisal
Mahindra Mahindra,Automobile,79,4.1,9.4,37.9k,Pune,Job Security,
AU Small Finance Bank,Banking,28,4.3,9.4,21k,Jaipur,Skill Development / Learning,
Infosys BPM,BPO,22,3.7,9,64.4k,Pune,Job Security,Salary & Benefits
Bajaj Finserv,Financial Services,17,4.0,8.5,26.8k,Pune,Salary & Benefits,
HDFC Life,Insurance,24,4.0,8.4,31.3k,Mumbai,Skill Development / Learning,
Conneqt Business Solutions,BPO,22,3.7,8.4,27.1k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
PwC,Management Consulting,144,3.5,8.3,93k,London,Work Life Balance,Work Life Balance
Mphasis,IT Services & Consulting,26,3.4,7.7,68.5k,Bengaluru,Promotions / Appraisal,Promotions / Appraisal
HSBC Group,Financial Services,159,4.0,7.2,59.5k,Pune,Job Security,Promotions / Appraisal
Yes Bank,Banking,20,3.8,7.1,43.9k,Mumbai,,
Maruti Suzuki,Automobile,43,4.2,7.1,25.6k,Delhi,Job Security,
Startek,,7,3.2,7,23.3k,Mumbai,Promotions / Appraisal,Promotions / Appraisal
Paytm,FinTech,14,3.3,7,33.2k,Noida,Job Security,Job Security
Asian Paints,Chemicals,82,4.0,6.9,22.9k,Mumbai,Salary & Benefits,
Bandhan Bank,Banking,23,3.8,6.9,21k,Kolkata,Job Security,Promotions / Appraisal
Samsung,Consumer Electronics & Appliances,55,4.0,6.9,27k,Seoul,Salary & Benefits,Promotions / Appraisal
Ericsson,Telecom,148,4.2,6.8,43.2k,Stockholm,Company Culture,Promotions / Appraisal
Hinduja Global Solutions,BPO,24,3.9,6.7,23.9k,Bengaluru,Job Security,Promotions / Appraisal
Shriram Finance,NBFC,45,4.1,6.7,14.3k,Mumbai,Job Security,
Quess,BPO,17,3.9,6.7,27.8k,Bangalore,Work Life Balance,Promotions / Appraisal
EXL Service,Analytics & KPO,25,3.8,6.6,39.7k,City,Job Security,Promotions / Appraisal
Cipla,Pharma,89,4.1,6.5,24.5k,Mumbai,Skill Development / Learning,
UltraTech Cement,Building Material,41,4.2,6.5,21.4k,Mumbai,Job Security,
NTT DATA,IT Services & Consulting,11,4.0,6.4,52.9k,City,Job Security,Promotions / Appraisal
Dr Reddy s,Pharma,40,4.1,6.4,24.3k,Secunderabad,Skill Development / Learning,
Sutherland Global Services,IT Services & Consulting,38,3.7,6.4,29.6k,Chennai,Promotions / Appraisal,Promotions / Appraisal
Tata Steel,Iron & Steel,117,4.2,6.3,28.6k,Mumbai,Job Security,
Bajaj Finance,NBFC,37,4.0,6.2,20.8k,Pune,Salary & Benefits,
ICICI Prudential Life Insurance,Insurance,24,4.1,5.9,22.4k,Mumbai,Job Security,
Wells Fargo,Financial Services,172,3.9,5.9,51.1k,Francisco,Work Life Balance,Promotions / Appraisal
Jana Small Finance Bank,Banking,18,3.8,5.8,15k,Bengaluru,,
Amazon Development Centre India,Internet,,4.1,5.8,31.4k,Secunderabad,Company Culture,Promotions / Appraisal
Lupin,Pharma,56,4.2,5.7,22.5k,Mumbai,Skill Development / Learning,
